營運日, 星期 , 總運量(單位：人次)
2015/2/23,一,"17,745"
2016/2/8,一,"19,696"
2016/2/29,一,"9,972"
2016/4/4,一,"16,243"
2016/10/10,一,"7,275"
2016/10/31,一,"7,290"
2016/12/26,一,"9,304"
2017/1/2,一,"16,117"
2017/1/30,一,"17,056"
2017/2/6,一,"6,208"
2017/2/27,一,"13,770"
2017/3/6,一,"1,670"
2017/4/3,一,"15,317"
2017/5/1,一,"12,176"
2017/5/29,一,"15,102"
2017/6/12,一,"2,514"
2017/7/3,一,"2,431"
2017/8/7,一,"3,914"
2017/9/4,一,"2,232"
2017/10/2,一,"3,562"
2017/10/9,一,"14,716"
2017/11/6,一,"4,154"
2017/12/4,一,"3,767"
2018/1/1,一,"15,573"
2018/2/5,一,"1,362"
2018/2/19,一,"20,464"
2018/3/5,一,"1,276"
2018/4/2,一,"5,090"
2018/5/7,一,"3,868"
2018/6/4,一,"3,106"
2018/6/18,一,"7,092"
2018/7/2,一,"4,247"
2018/8/6,一,"3,611"
2018/9/3,一,"3,039"
2018/9/24,一,"8,019"
2018/10/1,一,"5,404"
2018/11/5,一,"3,007"
2018/12/3,一,"4,629"
2018/12/31,一,"13,211"
2019/1/7,一,"3,395"
2019/3/4,一,"3,768"
2019/4/1,一,"2,409"
2015/1/6,二,"5,952"
2015/1/20,二,"8,469"
2015/1/27,二,"4,227"
2015/2/3,二,"9,164"
2015/2/10,二,"10,872"
2015/2/17,二,"10,009"
2015/2/24,二,"9,331"
2015/3/3,二,"8,008"
2015/3/10,二,"4,454"
2015/3/17,二,"8,134"
2015/3/24,二,"4,435"
2015/3/31,二,"8,527"
2015/6/2,二,"4,528"
2015/6/9,二,"6,444"
2015/6/16,二,"6,158"
2015/6/23,二,"3,028"
2015/6/30,二,"6,322"
2015/7/7,二,"7,154"
2015/7/14,二,"8,406"
2015/7/21,二,"10,702"
2015/7/28,二,"4,014"
2015/8/4,二,"10,424"
2015/8/18,二,"4,967"
2015/8/25,二,"8,801"
2015/9/1,二,"3,103"
2015/9/8,二,"6,283"
2015/9/15,二,"5,729"
2015/9/22,二,"7,199"
2015/10/6,二,"10,850"
2015/10/13,二,"7,470"
2015/10/20,二,"7,313"
2015/10/27,二,"8,286"
2015/11/6,二,"8,726"
2015/11/13,二,"9,236"
2015/11/20,二,"9,612"
2015/11/27,二,"8,471"
2015/12/1,二,"6,958"
2015/12/8,二,"7,952"
2015/12/15,二,"6,937"
2015/12/22,二,"9,946"
2015/12/29,二,"12,436"
2016/2/2,二,"4,457"
2016/2/9,二,"21,349"
2016/2/16,二,"7,243"
2016/2/23,二,"4,576"
2016/3/1,二,"4,233"
2016/3/8,二,"6,254"
2016/3/15,二,"2,361"
2016/3/22,二,"6,339"
2016/3/29,二,"11,841"
2016/4/5,二,"15,649"
2016/4/12,二,"5,461"
2016/4/19,二,"5,855"
2016/4/26,二,"5,224"
2016/6/7,二,"3,293"
2016/6/14,二,236
2016/6/21,二,"3,719"
2016/6/28,二,"1,862"
2016/8/2,二,"2,654"
2016/8/9,二,"4,463"
2016/8/16,二,"7,850"
2016/8/23,二,"8,998"
2016/8/30,二,"5,260"
2016/9/6,二,"2,793"
2016/9/13,二,"4,241"
2016/9/20,二,"3,918"
2016/10/4,二,"7,215"
2016/10/11,二,"5,515"
2016/10/18,二,"6,766"
2016/10/25,二,"9,829"
2016/11/1,二,"3,899"
2016/11/8,二,"4,542"
2016/11/15,二,"5,932"
2016/11/22,二,"5,727"
2016/11/29,二,"5,838"
2016/12/6,二,"5,259"
2016/12/13,二,"7,438"
2016/12/20,二,"7,663"
2016/12/27,二,"1,530"
2017/1/3,二,"4,028"
2017/1/10,二,"4,992"
2017/1/17,二,"6,049"
2017/1/24,二,"6,183"
2017/1/31,二,"20,206"
2017/2/7,二,"11,277"
2017/2/14,二,"7,997"
2017/2/21,二,"5,318"
2017/2/28,二,"9,098"
2017/3/7,二,"2,901"
2017/3/14,二,"3,064"
2017/3/21,二,"3,855"
2017/3/28,二,"6,340"
2017/4/4,二,"13,992"
2017/4/11,二,"3,514"
2017/4/18,二,"6,483"
2017/4/25,二,"6,386"
2017/5/2,二,"5,111"
2017/5/9,二,"4,700"
2017/5/16,二,"2,142"
2017/5/23,二,"4,454"
2017/5/30,二,"7,048"
2017/6/6,二,"3,476"
2017/7/4,二,"3,334"
2017/7/11,二,"2,578"
2017/7/18,二,"4,665"
2017/7/25,二,"5,659"
2017/8/1,二,"6,478"
2017/8/8,二,"5,370"
2017/8/15,二,"5,646"
2017/8/22,二,125
2017/8/29,二,"6,297"
2017/9/5,二,"3,085"
2017/9/12,二,"3,784"
2017/9/19,二,"3,692"
2017/9/26,二,"4,011"
2017/10/3,二,"5,554"
2017/10/10,二,"11,777"
2017/10/17,二,"3,999"
2017/10/24,二,"4,621"
2017/10/31,二,"7,540"
2017/11/7,二,"5,746"
2017/11/14,二,"4,567"
2017/11/21,二,"5,566"
2017/11/28,二,"7,791"
2017/12/5,二,"4,334"
2017/12/12,二,"3,329"
2017/12/19,二,"3,139"
